center_meal,r2_score,mape
50_1207,0.42828171173578256,0.4304173558396101
50_1230,0.3914700836720224,0.4101924732705846
50_1727,0.8763418680365959,0.23767043676044095
50_1754,0.7443001660592604,0.34188039547206667
50_1778,0.3770544192749632,0.3305014419486839
50_1878,0.6868054823371423,0.20845889782266927
50_1885,0.63871317777133,0.20244644699181805
50_1962,0.7829312021864491,0.3221479590570866
50_1971,0.7829018235584293,0.33944411243979006
50_1993,0.5502413544148098,0.27704859649529545
50_2290,0.8424550503329902,0.25568681605691235
50_2322,0.460321438960287,0.4039971547071557
50_2577,0.3766825785998379,0.28424833619894496
50_2581,0.7116828357099956,0.4955498044588452
50_2640,0.5802124363138828,0.2319392621446713
50_2707,0.42875615961835845,0.21262352901944112
50_2760,0.5587242663097848,0.36152067539296456
50_2826,0.7087038105826932,0.24302438037543428
51_1062,0.2869401388853424,0.24991142561731347
51_1109,0.7703212377757561,0.20594591881110838
51_1311,0.26257192025995535,0.35592306503502946
51_1438,0.5375829615318728,0.4108221156036015
51_1727,0.8429170466392197,0.35785232280505097
51_1754,0.8160473167659156,0.5341313835042454
51_1778,0.36473332372667366,0.34760396791430714
51_1803,0.17104666127997603,0.3656381190247163
51_1878,0.7532805524849424,0.45768949755774313
51_1885,0.5083972856525907,0.1442458701960583
51_1962,0.7546894759536189,0.40641183021408595
51_1971,0.8729739227230146,0.7161486578989836
51_1993,0.43778909289124857,0.2208931324206766
51_2290,0.8210611840252848,0.38982018932726686
51_2494,0.37286277273515844,0.3263341388967737
51_2539,0.5746684038172027,0.2582762085449018
51_2577,0.32706821375770334,0.317925437734037
51_2581,0.7910652123992067,0.5547632407175184
51_2640,0.7620406825930973,0.3042218164695465
51_2707,0.5000628829123501,0.22716403048085587
51_2760,0.5467361347079002,0.43170547231416273
51_2826,0.7553043159353483,0.2688674321025566
52_1062,0.4067660464967354,0.20477314612988817
52_1109,0.7980440605389176,0.21905755837882285
52_1198,0.317844125096594,0.2235902562064305
52_1311,0.4547277125024345,0.13985439460326957
52_1558,0.7938737215172568,0.6277788605252462
52_1727,0.7043442009835565,0.3128881950444809
52_1754,0.8202827757629234,0.34924141611950293
52_1778,0.39171533913430956,0.2484480019107098
52_1803,0.4604663919123263,0.1762481613460237
52_1878,0.7694017080172935,0.5422746055083941
52_1885,0.7068786291217863,0.14332844770821113
52_1962,0.85518668574528,0.3242458796995777
52_1993,0.3946001143964254,0.1945099229555015
52_2290,0.8613321542513469,0.2863947972237427
52_2539,0.7467740757638309,0.2254077561644653
52_2577,0.5842329947358335,0.2663689870309902
52_2581,0.810558164358623,0.49538843697450946
52_2631,0.673156181839193,0.48533685419929457
52_2640,0.8358163582588474,0.2295761596492005
52_2707,0.4619639822374104,0.2065145228466441
52_2760,0.5815465556516477,0.30798597006048056
52_2826,0.73376735410175,0.21139941938073095
53_1062,0.33322814052353955,0.27012028643857405
53_1109,0.7214019330057492,0.29441272408928426
53_1727,0.8317956461883544,0.42462651108209004
53_1778,0.3876150544666499,0.38617553411902716
53_1803,0.3262952165424782,0.25754726045288867
53_1885,0.5554284370919644,0.21183060716328114
53_1962,0.7014041028407585,0.4875645190479842
53_1993,0.516400792865698,0.21132513064493824
53_2290,0.8048967259490546,0.3624939182828042
53_2707,0.41902725201966884,0.28621810061893943
53_2826,0.6928003840622236,0.28771673485939003
55_1062,0.22027670128105004,0.42850736613498314
55_1727,0.7213132360621393,0.27478687848651867
55_1754,0.7977670892362458,1.0976441262715646
55_1778,0.25534071979912454,0.5316120651507215
55_1885,0.5245433558119763,0.3717246096786093
55_1971,0.8513635190960354,0.9638810215906354
55_1993,0.6226599936689772,0.3463845630500509
55_2290,0.7481455729629578,0.6248010717738811
55_2707,0.4965325011247558,0.40589206915484394
57_1062,0.24729046180585035,0.20586075639056747
57_1109,0.637874035381981,0.4430029324323388
57_1727,0.6716662136852176,0.4291107027451688
57_1754,0.8501736511036666,0.4496539243532456
57_1778,0.3678961451408227,0.4033314379032286
57_2290,0.7901439510060813,0.38726929481775607
57_2322,0.5268544202885963,0.46654531646609265
57_2581,0.6424101940606768,0.4071545994464206
57_2707,0.37539365932275537,0.31213964416931717
57_2826,0.6392911323055437,0.5229524505006685
58_1062,0.4221595729006984,0.1940040938227159
58_1109,0.6711440360341623,0.36974594274381106
58_1207,0.5404465455154702,0.36659336838123513
58_1230,0.5626003746382691,0.47465464439347327
