center_meal,r2_score,mape,Error
32_1109,0.6850443209378638,0.24074416655748831,
32_1571,0.3831574926260217,0.606330374452899,
32_2956,0.2003607150770046,0.6507526161365667,
32_2104,0.6203752594345926,0.8052460748319417,
32_2577,0.18366146768778102,0.5663877532054064,
32_2640,0.7027516928401234,0.2969878453473515,
32_1878,0.5447821729501023,0.4706724516735837,
32_1216,0.39724945826336133,0.5573615932409841,
32_2126,0.3598603401046372,0.4899326887211865,
32_2826,0.5970936180875859,0.2897996066139409,
32_1754,0.7738479122039951,0.24264263139096826,
32_1971,0.7178037473234666,0.3594530711399605,
32_1902,0.3754265992251389,0.3263052016251431,
32_1247,0.2914259545300837,0.404141089277857,
32_1770,0.35357913768151905,0.39717812258311463,
32_1558,0.6772857775695604,0.3039365742871878,
32_2581,0.7040023799310162,0.29814710361279845,
32_1962,0.7085241524345953,0.2721316720712944,
32_1445,0.6013946962782155,0.6220955224690653,
32_2444,0.7319745265102491,0.6911011778516235,
32_2867,0.6401216219895896,0.6439447831027829,
32_2760,0.43626795901762927,0.5421093720250529,
32_1525,0.4286585686853034,0.5163392104590786,
32_2704,0.4885401851391117,0.3642017753293506,
32_2492,0.5773588793182218,0.5156061157769528,
32_1543,0.5728632459866547,0.5379606989931103,
32_2304,0.4321295841741445,0.5721876840344765,
32_2664,0.6250369079752249,0.24124851726793697,
32_2569,0.7201884654884045,0.19221026009346265,
32_2490,0.8153714608969286,0.2974083093473013,
13_1885,0.5626702304910951,0.13321044307943458,
13_1993,0.5213171130162374,0.15190263552898203,
13_2539,0.5542035453147436,0.1910591855281724,
13_2139,0.23510446959678177,0.49541116396114043,
13_2631,0.7358115255574804,0.35030667998008647,
13_1248,0.744837772555844,0.38519057972201537,
13_1778,0.2913997729599995,0.23762861117405776,
13_1062,0.46250703845078855,0.1887937158893394,
13_2707,0.48825132869438304,0.1862829037234651,
13_1207,0.6781941863761509,0.5498774382381533,
13_1230,0.587010881615563,0.6781344876055159,
13_2322,0.634477193860083,0.40414564757807586,
13_2290,0.8244116517910457,0.19157629040292065,
13_1727,0.7816523817331107,0.25010799047123594,
13_1109,0.753023360331642,0.22171167705580003,
13_1571,0.6431927053238755,0.3386587983227269,
13_2956,0.4486343176812545,0.3192399298087475,
13_2104,0.3491099473245166,0.40282498174969295,
13_2577,0.4726852340673716,0.24969475797563165,
13_2640,0.6790220016040317,0.20619776547057175,
13_1878,0.6414783232829104,0.2792219768962653,
13_2306,0.6285609723701375,0.5219384266468287,
13_1216,0.4655280141630924,0.4563344855172325,
13_2126,0.3168910433493056,0.7157891143821471,
13_2826,0.7682246228587152,0.19638236204018666,
13_1754,0.7736531044907602,0.30889059534365926,
13_1971,0.6981155639903263,0.7405076636161638,
13_1902,0.2668244293758709,0.4648611333930402,
13_1247,0.30797819596969367,0.42791466914721166,
13_1770,0.355506180599957,0.5937198292863199,
13_1198,0.44846125694734174,0.21382933056863426,
13_1311,0.6537614902685497,0.20364377927792485,
13_1803,0.5013282284218615,0.19938439785192205,
13_1438,0.6993605420017208,0.34004211222763137,
13_2494,0.49289817769977173,0.33236597972963566,
13_1847,0.6580796933078906,0.44554544734221957,
13_1558,0.7184800426330656,0.5637224641908105,
13_2581,0.8153254337766087,0.3092132157189926,
13_1962,0.8329669061435995,0.24065206702075567,
13_1445,0.8503248854042289,0.41495196140323853,
13_2444,0.8147294738813781,0.46097717688057865,
13_2867,0.8576893651279477,0.38603589927471105,
13_2760,0.7598235167907307,0.28909179710009353,
13_1525,0.7103783887446424,0.221103330848115,
13_2704,0.7749556163498991,0.19986735529515653,
13_2492,0.6788150394285775,0.38163103794469855,
13_1543,0.6170245624039286,0.37937422802253334,
13_2304,0.5123597651229269,0.33573990179751567,
13_2664,0.7311622570951151,0.242323220225548,
